,Species,Age,Relab
0,Faecalibacterium prausnitzii,18,27.609057613808712
1,Faecalibacterium prausnitzii,19,25.26585061791603
2,Faecalibacterium prausnitzii,20,25.729870384664032
3,Faecalibacterium prausnitzii,21,22.876236689247108
4,Faecalibacterium prausnitzii,22,26.8826090662817
5,Faecalibacterium prausnitzii,23,29.142075104753722
6,Faecalibacterium prausnitzii,24,24.6416161447518
7,Faecalibacterium prausnitzii,25,33.15971042328433
8,Faecalibacterium prausnitzii,26,30.4676544713904
9,Faecalibacterium prausnitzii,27,30.349862635951823
10,Faecalibacterium prausnitzii,28,32.10678490362176
11,Faecalibacterium prausnitzii,29,41.55834038820117
12,Faecalibacterium prausnitzii,30,45.57836564434566
13,Faecalibacterium prausnitzii,31,33.02615883126693
14,Faecalibacterium prausnitzii,32,26.745570381106198
15,Faecalibacterium prausnitzii,33,33.878162189064895
16,Faecalibacterium prausnitzii,34,37.1180407088168
17,Faecalibacterium prausnitzii,35,36.46601237551015
18,Faecalibacterium prausnitzii,36,32.918516437671286
19,Faecalibacterium prausnitzii,37,36.69369859302508
20,Faecalibacterium prausnitzii,38,25.73285974137055
21,Faecalibacterium prausnitzii,39,32.21178901364439
22,Faecalibacterium prausnitzii,40,34.07565101912313
23,Faecalibacterium prausnitzii,41,33.75079646524548
24,Faecalibacterium prausnitzii,42,22.76826755578976
25,Faecalibacterium prausnitzii,43,31.989953276262494
26,Faecalibacterium prausnitzii,44,29.367833958824207
27,Faecalibacterium prausnitzii,45,32.52043857861891
28,Faecalibacterium prausnitzii,46,29.15733855797178
29,Faecalibacterium prausnitzii,47,27.70221349928073
30,Faecalibacterium prausnitzii,48,27.23347533856125
31,Faecalibacterium prausnitzii,49,27.95668329354102
32,Faecalibacterium prausnitzii,50,27.14547116738965
33,Faecalibacterium prausnitzii,51,24.30235961040181
34,Faecalibacterium prausnitzii,52,28.568566552309665
35,Faecalibacterium prausnitzii,53,27.651679247860162
36,Faecalibacterium prausnitzii,54,25.26069981219729
37,Faecalibacterium prausnitzii,55,32.18094021716201
38,Faecalibacterium prausnitzii,56,31.87999552607353
39,Faecalibacterium prausnitzii,57,28.923007717005795
40,Faecalibacterium prausnitzii,58,31.465998846718808
41,Faecalibacterium prausnitzii,59,19.83361301390617
42,Faecalibacterium prausnitzii,60,25.74140812543681
43,Faecalibacterium prausnitzii,61,25.679809923672046
44,Faecalibacterium prausnitzii,62,17.833175684082363
45,Faecalibacterium prausnitzii,63,25.09899414466511
46,Faecalibacterium prausnitzii,64,22.16298082512767
47,Faecalibacterium prausnitzii,65,24.241129328017
48,Faecalibacterium prausnitzii,66,28.841916176374326
49,Faecalibacterium prausnitzii,67,24.238240936435275
50,Faecalibacterium prausnitzii,68,29.49903761478617
51,Faecalibacterium prausnitzii,69,23.417851946905333
52,Faecalibacterium prausnitzii,70,27.25508130527883
53,Faecalibacterium prausnitzii,71,27.976735285408854
54,Faecalibacterium prausnitzii,72,21.991546591974313
55,Faecalibacterium prausnitzii,73,38.33948667531272
56,Faecalibacterium prausnitzii,74,22.711197168258355
57,Faecalibacterium prausnitzii,75,44.839403543817994
58,Faecalibacterium prausnitzii,76,25.490955797301996
59,Faecalibacterium prausnitzii,77,43.656030087306384
60,Faecalibacterium prausnitzii,78,40.006376005814914
61,Faecalibacterium prausnitzii,79,21.126672926137978
62,Faecalibacterium prausnitzii,80,30.590627687929413
63,Faecalibacterium prausnitzii,81,16.928578163287145
64,Faecalibacterium prausnitzii,82,31.569730653809298
65,Faecalibacterium prausnitzii,83,17.96866238594897
66,Faecalibacterium prausnitzii,84,37.2590043813852
67,Faecalibacterium prausnitzii,85,0.587844712012348
68,Faecalibacterium prausnitzii,86,5.649241967187586
69,Faecalibacterium prausnitzii,87,13.096415625284195
70,Faecalibacterium prausnitzii,88,0.9210729824307876
71,Faecalibacterium prausnitzii,89,11.682130890011841
72,Faecalibacterium prausnitzii,90,12.86356390957163
73,Faecalibacterium prausnitzii,91,0.0
74,Faecalibacterium prausnitzii,107,9.789483479482824
75,Bacteroides uniformis,18,4.022137536364427
76,Bacteroides uniformis,19,12.788900196883993
77,Bacteroides uniformis,20,6.784501919318905
78,Bacteroides uniformis,21,16.948586942954726
79,Bacteroides uniformis,22,7.604665657752127
80,Bacteroides uniformis,23,21.152526880785672
81,Bacteroides uniformis,24,15.661410996212155
82,Bacteroides uniformis,25,8.843096697938982
83,Bacteroides uniformis,26,18.865561401836146
84,Bacteroides uniformis,27,12.523293039694142
85,Bacteroides uniformis,28,15.049430504716005
86,Bacteroides uniformis,29,11.077740856728987
87,Bacteroides uniformis,30,3.8573060675032993
88,Bacteroides uniformis,31,10.960751545059745
89,Bacteroides uniformis,32,18.18808437007137
90,Bacteroides uniformis,33,11.974672943604146
91,Bacteroides uniformis,34,6.991942879744877
92,Bacteroides uniformis,35,7.330077089850537
93,Bacteroides uniformis,36,6.505609090924293
94,Bacteroides uniformis,37,14.185315679342555
95,Bacteroides uniformis,38,23.026082917302674
96,Bacteroides uniformis,39,8.30045323318717
97,Bacteroides uniformis,40,7.5625871112577
98,Bacteroides uniformis,41,11.589136094731039
99,Bacteroides uniformis,42,15.323156942988586
100,Bacteroides uniformis,43,17.70481982195028
101,Bacteroides uniformis,44,16.352984960769305
102,Bacteroides uniformis,45,10.903342162255978
103,Bacteroides uniformis,46,13.10124226980956
104,Bacteroides uniformis,47,15.561376490318994
105,Bacteroides uniformis,48,10.53882019530303
106,Bacteroides uniformis,49,14.392317836221844
107,Bacteroides uniformis,50,18.694187416531268
108,Bacteroides uniformis,51,19.118949396095303
109,Bacteroides uniformis,52,13.386320910004503
110,Bacteroides uniformis,53,10.84794528016189
111,Bacteroides uniformis,54,14.990033277321999
112,Bacteroides uniformis,55,10.439271728666384
113,Bacteroides uniformis,56,13.325245850863384
114,Bacteroides uniformis,57,14.857274188938465
115,Bacteroides uniformis,58,16.310272592525514
116,Bacteroides uniformis,59,15.145171295628057
117,Bacteroides uniformis,60,13.076969825883497
118,Bacteroides uniformis,61,18.87531255728055
119,Bacteroides uniformis,62,22.29887486848825
120,Bacteroides uniformis,63,23.24192200730792
121,Bacteroides uniformis,64,15.543949496033555
122,Bacteroides uniformis,65,14.750026544758372
123,Bacteroides uniformis,66,21.12192876830739
124,Bacteroides uniformis,67,19.065743042920175
125,Bacteroides uniformis,68,15.910788336089688
126,Bacteroides uniformis,69,13.307069335617811
127,Bacteroides uniformis,70,12.87519295996665
128,Bacteroides uniformis,71,14.098996458883784
129,Bacteroides uniformis,72,24.660712982660975
130,Bacteroides uniformis,73,10.763816257373552
131,Bacteroides uniformis,74,25.3711468981251
132,Bacteroides uniformis,75,13.507955108493055
133,Bacteroides uniformis,76,19.67818392125973
134,Bacteroides uniformis,77,9.34759535142948
135,Bacteroides uniformis,78,11.149338808196992
136,Bacteroides uniformis,79,15.95415322834759
137,Bacteroides uniformis,80,22.795411184618057
138,Bacteroides uniformis,81,38.83040840678168
139,Bacteroides uniformis,82,17.74885567647374
140,Bacteroides uniformis,83,23.543180517654363
141,Bacteroides uniformis,84,6.901523768561294
142,Bacteroides uniformis,85,54.35008256290469
143,Bacteroides uniformis,86,42.52281883113091
144,Bacteroides uniformis,87,14.561655941242634
145,Bacteroides uniformis,88,0.7538034383905496
146,Bacteroides uniformis,89,60.09725001567453
147,Bacteroides uniformis,90,44.531592010150796
148,Bacteroides uniformis,91,38.552228248054725
149,Bacteroides uniformis,107,7.0177375952563095
150,Bacteroides vulgatus,18,6.400966769440612
151,Bacteroides vulgatus,19,15.399434114625613
152,Bacteroides vulgatus,20,9.695774400648464
153,Bacteroides vulgatus,21,22.95664534470505
154,Bacteroides vulgatus,22,11.14736167372058
155,Bacteroides vulgatus,23,11.648414971275004
156,Bacteroides vulgatus,24,12.199085909864031
157,Bacteroides vulgatus,25,15.219324813474186
158,Bacteroides vulgatus,26,18.15332427074516
159,Bacteroides vulgatus,27,14.310843862448861
160,Bacteroides vulgatus,28,16.383964912863625
161,Bacteroides vulgatus,29,8.240075800116438
162,Bacteroides vulgatus,30,12.386881935649575
163,Bacteroides vulgatus,31,8.017569494877021
164,Bacteroides vulgatus,32,16.261267494789454
165,Bacteroides vulgatus,33,13.343122583225664
166,Bacteroides vulgatus,34,8.693254702172093
167,Bacteroides vulgatus,35,10.377404988539055
168,Bacteroides vulgatus,36,29.553162209659114
169,Bacteroides vulgatus,37,15.670150737352062
