,R2,Model,Region,Data
0,0.4688897191975,LGB,Non-Region,Species
1,0.4530435777497971,LGB,Non-Region,Species
2,0.4541276133067794,LGB,Non-Region,Species
3,0.4545688587212091,LGB,Non-Region,Species
4,0.43999262501853764,LGB,Non-Region,Species
5,0.44605360495135293,LGB,Non-Region,Species
6,0.47751340628285066,LGB,Non-Region,Species
7,0.4286687087895139,LGB,Non-Region,Species
8,0.4466685814711806,LGB,Non-Region,Species
9,0.45820748255802035,LGB,Non-Region,Species
10,0.4629037532751482,LGB,Non-Region,Species
11,0.4586700593934777,LGB,Non-Region,Species
12,0.42166500670121243,LGB,Non-Region,Species
13,0.4541626944463417,LGB,Non-Region,Species
14,0.44601738084591147,LGB,Non-Region,Species
15,0.48014038465636066,LGB,Non-Region,Species
16,0.4633635981587714,LGB,Non-Region,Species
17,0.4584631388870697,LGB,Non-Region,Species
18,0.4488584652967075,LGB,Non-Region,Species
19,0.4671872291897763,LGB,Non-Region,Species
20,0.45873080018243517,LGB,Non-Region,Species
21,0.4592275250031701,LGB,Non-Region,Species
22,0.45502873055052273,LGB,Non-Region,Species
23,0.44233850264859487,LGB,Non-Region,Species
24,0.4601189002074382,LGB,Non-Region,Species
25,0.46420811236886994,LGB,Non-Region,Species
26,0.43458538101738187,LGB,Non-Region,Species
27,0.47337046127134863,LGB,Non-Region,Species
28,0.4462612365529546,LGB,Non-Region,Species
29,0.4726827290089156,LGB,Non-Region,Species
30,0.46316575451224107,LGB,Non-Region,Species
31,0.4452901958412854,LGB,Non-Region,Species
32,0.4701101380741356,LGB,Non-Region,Species
33,0.43367491958871385,LGB,Non-Region,Species
34,0.463016997625019,LGB,Non-Region,Species
35,0.47848197972941275,LGB,Non-Region,Species
36,0.46976910518311377,LGB,Non-Region,Species
37,0.4163914829496731,LGB,Non-Region,Species
38,0.47245684157287193,LGB,Non-Region,Species
39,0.4541349435865658,LGB,Non-Region,Species
40,0.4530241399826682,LGB,Non-Region,Species
41,0.44536050573648245,LGB,Non-Region,Species
42,0.4524039297663276,LGB,Non-Region,Species
43,0.4847501582287522,LGB,Non-Region,Species
44,0.4678791887813215,LGB,Non-Region,Species
45,0.45960727174077054,LGB,Non-Region,Species
46,0.4629946496470666,LGB,Non-Region,Species
47,0.4621009793037707,LGB,Non-Region,Species
48,0.4649079422500252,LGB,Non-Region,Species
49,0.4457522309195304,LGB,Non-Region,Species
50,0.4480036657304476,LGB,Region,Species
51,0.46873356203310523,LGB,Region,Species
52,0.4425966101298586,LGB,Region,Species
53,0.46362744857862503,LGB,Region,Species
54,0.4866789143971927,LGB,Region,Species
55,0.44847652881064004,LGB,Region,Species
56,0.4536546600986606,LGB,Region,Species
57,0.46014761359083034,LGB,Region,Species
58,0.5038503679661275,LGB,Region,Species
59,0.4806530055287689,LGB,Region,Species
60,0.5008883246207618,LGB,Region,Species
61,0.4510032147274108,LGB,Region,Species
62,0.4722176675412705,LGB,Region,Species
63,0.4331898904753325,LGB,Region,Species
64,0.4681370413645424,LGB,Region,Species
65,0.49293773135668917,LGB,Region,Species
66,0.4730705766933476,LGB,Region,Species
67,0.4476126444365154,LGB,Region,Species
68,0.44093842601061595,LGB,Region,Species
69,0.47837373407911143,LGB,Region,Species
70,0.47785024849317215,LGB,Region,Species
71,0.4639148822061616,LGB,Region,Species
