,Fid,ALE,Fv,rFv,tFid
47862,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.5721529655590198,0.4406667220868961,0.0025962941107207,Firmicutes bacterium CAG 94
47863,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.572385433932401,0.4490650874634834,0.0026457751027585,Firmicutes bacterium CAG 94
47864,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.5834088775661108,0.4650653105686878,0.002740044270218,Firmicutes bacterium CAG 94
47865,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.5939944289598462,0.4739209327611905,0.0027922193008995,Firmicutes bacterium CAG 94
47866,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.6016663274361334,0.4835665794760196,0.002849048951301,Firmicutes bacterium CAG 94
47867,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.601679037608376,0.4890324437648876,0.002881252407001,Firmicutes bacterium CAG 94
47868,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.6097293208430397,0.5023589669189982,0.0029597688273414,Firmicutes bacterium CAG 94
47869,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.6099671291324358,0.5145085735681905,0.0030313511606782,Firmicutes bacterium CAG 94
47870,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.612744113681546,0.5243058206451903,0.0030890740011206,Firmicutes bacterium CAG 94
47871,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.6610592833451154,0.5426366291884952,0.0031970743739202,Firmicutes bacterium CAG 94
47872,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.660760654403427,0.5548263788277548,0.0032688932193499,Firmicutes bacterium CAG 94
47873,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.6614321074617011,0.5696958858839862,0.0033565005009176,Firmicutes bacterium CAG 94
47874,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.6816896896706937,0.58873142328149,0.0034686529534684,Firmicutes bacterium CAG 94
47875,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.6932933927050933,0.6033855464970412,0.0035549912492719,Firmicutes bacterium CAG 94
47876,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.6933148534763716,0.6128197057951896,0.0036105748706295,Firmicutes bacterium CAG 94
47877,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.698420876355193,0.6249188881338542,0.0036818601169981,Firmicutes bacterium CAG 94
47878,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.7517973978593553,0.6481226169145218,0.0038185704728306,Firmicutes bacterium CAG 94
47879,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.7523539617688442,0.6597830422654786,0.0038872706767484,Firmicutes bacterium CAG 94
