age,pred
36,40.32624197
24,36.18786211
63,46.03147971
53,43.21105437
38,45.79113092
29,51.4712932
59,48.38218618
46,39.43391508
63,46.24865507
47,46.2230705
36,46.52860252
29,43.37200629
25,42.02865502
42,40.07879545
29,51.54087334
32,38.21383271
60,44.44751849
53,46.17966265
33,39.9069615
45,49.6522902
47,47.79697225
38,38.33129711
58,40.42818042
48,42.11069209
46,44.14695633
41,45.17423479
24,43.7443939
48,50.08689228
40,48.33003499
49,41.92384685
54,48.53618375
59,47.89900591
38,49.92325965
55,42.99336387
61,51.12191558
54,36.09235393
48,43.48942017
32,35.9483989
47,49.62603778
50,49.63077986
19,39.37863825
40,40.68029208
42,50.44272019
36,48.24856
45,46.14959485
23,35.05475863
23,39.82242497
44,47.05685156
27,42.65423076
53,53.67727249
46,41.40645634
46,57.42888273
41,37.73623983
39,41.04488817
58,45.9347462
21,31.80611168
42,39.99050423
47,38.99416173
58,55.07221143
34,35.75392699
46,46.84533037
63,56.09548504
54,30.85480054
56,42.21087967
46,31.81999199
55,46.86547636
54,49.1833804
23,43.3685929
54,57.20310552
28,42.45207735
38,42.97718033
47,51.52497234
44,38.58159903
48,44.44780373
45,48.21227039
50,47.87235376
65,42.45146368
40,48.25580875
48,51.38255729
50,52.46804543
48,50.21519832
28,40.59964133
50,49.45177315
59,43.14719327
24,43.26811354
40,38.63588947
35,55.1121369
43,41.5596576
51,46.3801543
31,45.78021868
31,45.01612796
56,37.89877005
51,49.58085735
31,46.33672951
46,53.10614118
42,51.91868212
53,46.89438358
27,39.19141011
40,45.02342233
19,46.01977777
41,43.36107748
48,42.99365409
46,49.67298326
44,48.94909759
40,44.02533186
56,44.57382865
59,54.22733403
52,43.85734203
43,51.65781266
49,43.05593743
44,39.69696017
58,42.98519504
41,44.86276161
63,44.03208102
43,36.01702911
43,49.6545598
61,38.90321982
26,39.67636096
27,37.64262933
33,38.91746034
24,36.34948681
42,46.18169372
42,54.41689956
49,56.81205265
38,49.07621458
59,44.68944252
36,29.50556002
54,47.17570782
43,42.69936209
28,36.6479791
23,32.72518095
44,48.13416484
25,40.26627351
59,44.97384192
54,44.72567705
53,46.89810795
51,46.32794619
59,53.17964498
33,41.41712798
53,45.18059822
44,37.9831156
33,45.28424201
62,56.80995084
35,40.57866855
51,51.10484907
44,37.72349602
48,55.47856396
53,52.57445283
49,45.09875473
50,47.09487752
63,53.03363212
41,51.08645371
64,49.54151126
63,50.64699711
43,47.63500955
24,36.31436653
47,49.4198286
58,41.33429815
56,39.42197218
61,48.69853989
37,38.97650373
27,37.13549026
23,29.29759002
36,55.77518474
57,38.49635833
56,53.65400516
47,49.16191109
62,50.86242142
48,47.25929575
33,35.86545655
42,53.100803
52,51.78741322
20,35.75979255
65,50.34015119
55,39.6305125
52,50.83660194
60,47.04542414
50,47.92754217
63,40.90961119
61,48.78379089
47,49.48441258
23,32.77680596
23,44.07172264
38,45.56065544
48,47.36993345
41,37.9155744
43,36.62433112
40,48.26549645
27,43.17938874
43,46.55514189
46,43.68760203
54,49.08387303
48,40.24184268
19,34.24080031
58,47.61735133
54,49.5068099
33,45.38857995
56,52.01467551
50,42.18548191
48,60.08168293
27,49.55932305
27,43.07625546
49,51.14667275
50,50.75308671
51,40.0509651
55,49.660594
32,33.43123841
60,39.92343936
56,49.51711979
26,36.25499165
43,43.3064857
47,36.26217098
53,47.14093143
44,39.66408735
60,51.01560088
25,45.23923752
21,37.27522855
54,45.34957527
40,37.81245132
25,36.40466268
44,39.76195705
58,40.67430352
59,51.85040149
41,42.99794141
28,41.53288167
42,39.6981898
52,46.02580048
23,38.50987789
25,42.4811996
24,43.98329332
44,47.74231115
58,56.429843
26,41.73037566
52,43.09503941
46,43.48040523
45,46.66216618
33,36.422774
35,38.30288661
42,37.65236036
64,47.64866475
46,39.42249959
52,50.32932173
37,34.91609607
64,45.35129603
49,38.32002256
41,40.17009915
52,51.01482719
54,51.82521058
60,48.39177141
44,32.31519756
55,44.41632023
54,32.63078984
48,52.27656582
47,37.49521735
25,43.7143233
33,43.47841868
48,42.98922774
41,38.81963168
28,38.30171971
30,47.68381134
40,35.64807223
30,48.78351772
48,47.26570178
46,38.07884921
22,45.05560765
24,37.94472186
37,47.46648423
63,45.92687971
50,46.19527854
31,31.60659439
62,50.21379434
57,47.8238997
30,47.37528355
52,52.32118147
27,46.84383643
53,52.17323712
62,55.87506861
46,33.34991139
52,47.97632995
47,47.5633001
20,33.1576536
57,46.79721744
24,48.68982435
48,38.25923445
56,37.48492616
53,47.22156122
24,49.44357667
41,38.95807083
24,29.40201745
59,47.78440203
42,38.72676315
58,56.24394231
48,45.85853017
41,42.51148748
48,42.22742027
23,40.84965275
63,50.17658394
28,41.69326353
26,29.20037153
51,48.40286085
43,43.95973015
49,47.26175248
47,44.85857895
50,56.4962126
49,52.99501541
34,40.13882408
41,44.79646636
42,42.63691904
42,53.07036537
60,45.71971468
63,47.38246963
19,40.5018141
44,43.03285609
53,45.01451225
26,34.51750775
37,49.08413423
62,50.09895033
48,44.96355192
54,49.0309108
31,40.32366535
57,45.97885782
55,49.92012457
44,48.03299687
46,37.53416034
34,45.39057445
33,35.91298397
49,43.27828224
29,52.14973236
56,53.8436396
60,40.08157143
40,43.14125257
43,37.58175474
62,51.19208608
24,36.87518088
45,54.94856677
35,37.44667236
24,36.10058161
55,52.09291005
51,47.48676931
50,45.21305426
54,45.83268197
21,39.62616597
43,48.37751878
64,48.58431006
58,48.84618646
49,42.76447382
47,51.83856571
56,51.44362234
25,40.96375852
49,43.68733125
43,53.94954117
22,46.74328778
50,51.47160526
20,26.70208142
29,34.29444237
63,45.3846522
19,55.55061507
50,45.74111833
64,53.08497302
39,38.07421911
53,43.39693563
56,38.05815952
46,49.6631014
40,42.2459137
54,31.69559259
57,46.98688542
45,48.45714887
39,43.21417071
22,40.17117032
35,45.34242041
38,40.48420371
42,46.53499147
57,41.1031786
35,42.31459349
32,42.90472228
27,42.91910465
63,53.0251468
46,46.0442992
56,43.05673513
56,47.7289015
48,39.87766874
31,46.7931169
59,46.14882458
53,44.61993056
34,43.25637754
33,39.0970534
62,44.06988225
46,46.22469768
41,49.97988232
26,46.48570411
47,42.68879687
53,34.31453931
59,48.97458984
54,43.30491648
62,33.37453792
45,41.67421896
34,30.58586226
31,32.11815168
42,42.5916237
45,46.21478275
26,37.19656771
46,43.72196009
47,48.41344666
48,54.55404468
49,45.55749723
52,63.23819944
48,43.1539896
20,33.27023603
29,45.05147837
44,46.36063305
55,45.60274396
27,53.49590039
51,46.68256986
22,36.78837685
46,27.80131118
48,39.06652401
59,42.38524337
40,45.05103193
48,49.48885648
59,45.16603525
47,36.50552298
57,47.49572599
60,39.19394237
54,36.46902002
31,42.71542815
29,39.56274536
42,47.4784286
59,47.23666623
61,45.14055561
52,49.13740503
23,35.4559896
32,47.46690771
49,56.90738834
52,43.44038634
18,37.70884287
53,47.42402526
56,49.51562834
45,44.23495625
52,46.28677793
45,46.45320602
40,38.95979982
52,42.86031963
63,49.58693458
42,49.06687363
43,47.37049812
63,50.9939942
38,51.00233727
45,48.53357605
55,53.48982092
42,46.41711509
48,50.83449973
29,39.90502413
41,45.77306591
54,34.27391776
62,49.03309289
53,41.07156841
53,53.14308594
45,36.8136609
24,33.36736919
43,46.07088479
50,51.37077043
59,65.59858216
64,46.67823883
48,41.31157616
33,44.66223565
51,52.08611721
57,52.3144769
21,37.28738384
45,50.01881987
49,47.01604078
59,47.94777025
62,51.34657333
64,50.12832266
63,44.56726267
34,38.81997753
29,40.6382824
43,45.80303936
42,47.83281068
51,43.00605777
23,37.54596542
46,39.23399719
32,46.08036113
54,42.9725736
52,42.09284462
47,53.23960748
37,46.75719963
46,50.72339046
27,36.97548069
32,47.18443333
42,41.41371482
53,53.71007787
55,53.30784626
58,47.93054292
60,45.95628678
64,58.86249348
52,41.9934538
44,44.78809276
54,41.65917856
65,50.7827431
65,47.08391753
56,47.44744795
57,43.72730573
53,52.24100869
53,46.39063692
52,46.67487916
32,42.61961352
65,52.39679775
31,52.39921355
43,53.9502718
51,43.22869356
50,48.10021554
26,39.88989219
39,35.91461329
28,35.88433223
39,38.46054448
60,50.76029672
32,37.0207895
56,41.08978042
24,43.8147901
60,44.32973213
52,40.48460932
37,34.60867752
52,39.43843819
56,51.47704463
47,51.71731818
53,46.04185118
53,45.13294199
21,30.76286216
48,40.72344573
46,47.84943136
32,35.41665011
40,37.6193338
40,49.75986936
23,40.81205822
44,47.19034364
46,37.77615556
41,44.55929556
53,45.37009136
64,49.74915123
65,44.61586654
46,39.29246958
33,33.00238641
48,51.87851199
43,40.62892444
38,48.80898777
54,48.2231311
33,43.86366568
46,50.66602492
25,38.59336252
55,57.23443828
60,40.11280505
29,41.65982761
52,50.11556846
65,51.20609408
42,42.8577432
51,50.47095062
65,47.40621903
42,33.25804065
29,41.95133685
64,52.75604649
57,45.08750509
20,38.48367585
65,42.48950947
49,51.26062788
29,37.55344885
32,46.28674493
64,46.30865349
49,50.110403
35,38.37310351
43,41.89050194
29,46.88464698
46,52.21113644
37,41.75705661
44,46.10442487
57,53.00733233
51,44.06849487
45,46.12439027
34,46.79606763
31,43.35248098
65,55.401581
56,50.35661733
62,52.67721951
49,42.06930418
58,46.88603915
49,45.8587438
28,45.84647207
55,48.19501218
63,40.55349227
44,43.92503621
33,40.91767755
43,52.61692275
29,43.30853607
48,47.1389005
34,45.92128738
27,39.42993628
24,40.55794505
22,30.28714644
47,52.19860157
47,44.36689028
30,45.41699418
56,39.94157303
60,48.38183125
54,48.48889188
36,31.09660253
50,52.96934663
52,45.33074965
40,48.83391424
48,42.38112436
23,38.55972527
55,43.68325111
41,28.71332073
65,51.78621696
51,42.63246949
33,37.20542457
52,52.36293101
43,46.92667755
55,52.14908206
23,30.65028009
64,49.57564685
53,42.5952558
50,42.04618785
48,49.50555301
24,37.95931515
38,41.92323095
47,40.75767031
45,42.82105435
54,42.26734776
40,41.43410331
45,40.84942596
31,47.30627393
62,50.60483742
55,43.62350552
52,51.48097018
31,47.19970032
59,50.04464088
51,42.09310273
48,45.39819828
61,39.25722106
47,40.53712655
41,37.75357316
53,44.81139897
54,46.37564046
32,39.65100553
63,45.28519555
25,40.40848004
20,44.03101404
59,52.57345089
59,50.00555376
18,37.41295035
33,44.19739465
26,37.46798081
25,42.89722049
43,48.92610717
42,49.65420471
58,53.17889998
56,47.34146921
40,39.01058714
55,47.90768971
65,53.64630977
36,43.03967679
62,51.83909712
45,48.15694496
62,46.85766814
52,44.69476977
30,47.79765727
